NAF,Code_NAF,Nom,Adresse_etablissement,Code_Postal,CoordonneesLambertAbscisse,coordonneesLambertOrdonnee
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),ETABLISSEMENTS JEAN THOLLOT ET FILS, 129 AVENUE THIERS 69006 LYON,69006,844688.8569113873,6520537.01487488
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),POLY COUTELIER-ORFEVRE, 20 COURS FRANKLIN ROOSEVELT 69006 LYON,69006,843398.7305626895,6520455.960348379
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),ITALIAN CASA, 128 RUE BOSSUET 69006 LYON,69006,844274.4105832735,6520441.9440500075
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),MYA, 54 RUE CRILLON 69006 LYON,69006,843833.4431717412,6520708.29363517
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),CAUCHI DESIGN 69, 31 RUE MALESHERBES 69006 LYON,69006,843184.6904697099,6520683.453834767
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),SEYAR,31-33 31 RUE BOILEAU 69006 LYON,69006,843641.17509418,6520898.625333238
47.52A,Commerce de detail de quincaillerie peintures et verres en petites surfaces (moins de 400 m²),CONFORT HABITAT PLUS,BUREAU CREQUI 131 RUE DE CREQUI 69006 LYON,69006,843516.0149687692,6520161.2274217745
47.52B,Commerce de detail de quincaillerie peintures et verres en grandes surfaces (400 m² et plus),LA RIVIERE DE CARREAUX, 52 RUE BOILEAU 69006 LYON,69006,843639.9609848213,6520774.519205176
47.52B,Commerce de detail de quincaillerie peintures et verres en grandes surfaces (400 m² et plus),MADUMAX, 30 RUE PIERRE CORNEILLE 69006 LYON,69006,843251.65,6520176.27
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,SASU EY PROJECTS, 23 RUE CREPET 69007 LYON,69007,842732.1541470818,6517147.756357153
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,MENUISERIES PRO, 18 RUE MARIE-MADELEINE FOURCADE 69007 LYON,69007,842974.3011514145,6516903.348030103
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ETABLISSEMENT NATIONAL DE L'AMELIORATION DE L'HABITAT, 81 RUE JABOULAY 69007 LYON,69007,843502.914334661,6517888.532503008
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,AGRU ENVIRONNEMENT FRANCE,BATIMENT B 304 AVENUE JEAN JAURES 69007 LYON,69007,842445.5395061474,6515963.9744701
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,WEDI FRANCE SARL,GERLAND TECHNOPARK - IMMEUBLE B 43 RUE SAINT JEAN DE DIEU 69007 LYON,69007,843611.0080585014,6515438.272842372
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,SKYWOOD,G2C BUSINESS CENTER 63 RUE ANDRE BOLLIER 69007 LYON,69007,842439.2512170745,6516650.752864149
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,BAIE ATTITUDE, 257  GARE LA GUILLOTIERE 69007 LYON 7EME,69007,0,0
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,NGR DIFFUSION, 36 RUE FELIX BRUN 69007 LYON,69007,842449.27354604,6517036.769299743
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,FGC,G2C BUSINESS CENTER 63 RUE ANDRE BOLLIER 69007 LYON,69007,842439.2512170745,6516650.752864149
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,DERBIGUM FRANCE,KORNER 2   IMMEUBLE B 13 RUE PIERRE GILLES DE GENNES 69007 LYON,69007,843416.7746514679,6515449.839835993
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,K E L Y DISTRIBUTION, 24 RUE DOMER 69007 LYON,69007,843687.5802475861,6518089.689001764
