NAF,Nom,Complement_adresse,Numero_voie,Type_voie,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,CoordonneesLambertAbscisse,CoordonneesLambertOrdonnee
47.52B,LEROY MERLIN FRANCE,"",12,AVENUE,VICTOR HUGO,69160,TASSIN-LA-DEMI-LUNE,838926.7429466536,6520456.702966122
47.52B,BRICO DEPOT,301-345,301,RUE,CAMILLE DESMOULINS,69400,VILLEFRANCHE-SUR-SAONE,834515.3740185642,6545334.000402064
47.52B,BRICO DEPOT,ZAC DU GARET,"",RUE,FRANCOIS MEUNIER VIAL,69400,VILLEFRANCHE-SUR-SAONE,834230.30712643,6545538.778018934
47.52B,LA BOITE A OUTILS,"",18,ROUTE,DE JONAGE,69150,DECINES-CHARPIEU,853868.2553438116,6521218.933676902
47.52B,AGENCEMENT DECORATION STAFF,"",5,RUE,JULES KUMER,69100,VILLEURBANNE,846936.0678703049,6520359.261664203
47.52B,AGENCEMENT DECORATION STAFF,"",7,RUE,JULES KUMER,69100,VILLEURBANNE,846935.4598672915,6520345.695021327
47.52B,AGENCEMENT DECORATION STAFF,"",260,COURS,EMILE ZOLA,69100,VILLEURBANNE,846884.304083559,6520410.67532548
47.52B,MATHELOT,"",12,RUE,DE L'EPARGNE,69008,LYON,844598.009517332,6517496.455654421
47.52B,BRICO CALADE,"",1313,ROUTE,DE FRANS,69400,VILLEFRANCHE-SUR-SAONE,834521.2191662106,6544231.354070379
47.52B,SUCYBRI,LIEU DIT,"","",PRES DE LA CLOCHE,69220,BELLEVILLE-EN-BEAUJOLAIS,0,0
47.52B,HABITAT HORIZON,"",48,ROUTE,DE LYON,69380,LOZANNE,830411.4253630779,6529747.658756406
47.52B,ARMABRIC,ET 60 RUE PRE GAUDRY,7,RUE,MARIE-MADELEINE FOURCADE,69007,LYON,842934.9752025998,6516968.747633445
47.52B,GOBANNE,"",57,AVENUE,ANTOINE DE SAINT-EXUPERY,69100,VILLEURBANNE,846294.5403172033,6519331.859420112
47.52B,ANTALICE,ZONE BELLEVUE,675,ROUTE,DES GRANDES TERRES,69610,SOUZY,813238.8466331039,6512149.037760308
47.52B,BREQUIN,"",110,RUE,DU BOIS BROCHET,69240,THIZY-LES-BOURGS,799810.5210354907,6549203.151686323
47.52B,EUROPORTAIL,"",1058,ROUTE,DEPARTEMENTALE 386,69700,MONTAGNY,837328.9017310315,6504438.4547307165
47.52B,EUROPORTAIL,"","","",PARC ACTIVITE LES AYATS,69390,MILLERY,0,0
47.52B,SAS BRICO TURDINE,"",10,BOULEVARD,DE LA TURDINE,69170,TARARE,813113.9921639761,6533023.821766491
47.52B,L.N.O.,"",67,RTE,NATIONALE 6,69570,DARDILLY,0,0
47.52B,L.N.O.,"",1129,"",CHEMIN DE L'ANSE,69400,LIMAS,0,0
47.52B,SARL HPB,"",9,RUE,GUSTAVE COURBET,69800,SAINT-PRIEST,852567.193414361,6512617.651068569
47.52B,ALPES CONFORT RHONE,ZONE D'ACTIVITE LES PLATTES,22,CHEMIN,DES RONZIERES,69390,VOURLES,837077.7170901033,6508383.944043373
47.52B,GUGLER LYON EST,"",110,RUE,DU COMPANET,69140,RILLIEUX-LA-PAPE,845805.1991127045,6525142.468649381
47.52B,FRANCE CONCEPT AMENAGEMENT,"",51,CHEMIN,DU MOULIN CARRON,69570,DARDILLY,837184.9635654461,6524220.168976908
47.52B,EURO COULEUR,Z I NORD ARNAS,62,COUR,DES LAVANDES,69400,ARNAS,833596.9612429367,6547092.747946628
47.52B,CHRISTAL CHEMINEES,18,14,AVENUE,GENERAL DE GAULLE,69410,CHAMPAGNE-AU-MONT-D'OR,838522.0403109605,6524197.135121107
47.52B,CHRISTAL CHEMINEES,"","",ROUTE,NATIONALE 6,69720,SAINT-BONNET-DE-MURE,857174.4216992557,6512733.249392708
47.52B,CP VILLEFRANCHE SUR SAONE,"",447,RUE,JOSEPH LEON JACQUEMAIRE,69400,VILLEFRANCHE-SUR-SAONE,834905.8189036577,6545238.528827358
47.52B,CLARTEBAIE,"",50,RUE,ARISTIDE BRIAND,69800,SAINT-PRIEST,850262.2697853821,6512285.57134576
47.52B,BRICO METAL SERVICE,"",125,ROUTE,DE GRENOBLE,69800,SAINT-PRIEST,854074.7472363882,6514119.0600442765
47.52B,L ESPACE BRICO DECOR,"",366,ROUTE,DE SAIN-BEL,69210,L'ARBRESLE,824690.5712771713,6526355.762524404
47.52B,QUINCAILLERIE MORNANTAISE,"",13,AVENUE,DE VERDUN,69440,MORNANT,830148.5029671177,6503922.896106723
47.52B,JUNET CARRELAGE ET BAINS,"",1050,ROUTE,DE SARCEY,69490,SAINT-ROMAIN-DE-POPEY,819986.3102863932,6530915.217935523
47.52B,1001 MPBC,299-301,299,COURS,EMILE ZOLA,69100,VILLEURBANNE,847115.0974263935,6520375.993205082
47.52B,HM RENOV 26,"",67,RUE,DU CHAMP DE L'ORME,69100,VILLEURBANNE,847299.1204412477,6520965.037279346
47.52B,FERRARI FORM EQUIPEMENT,PARC D AFFAIRES,"","",RECAMIER,69970,CHAPONNAY,0,0
47.52B,THALASSOR NEPTUNE,"",69,RUE,HENRI DEPAGNEUX,69400,LIMAS,832850.4937295805,6543245.880088335
47.52B,ECOPISCINE,"",228,ROUTE,DE GRENOBLE,69800,SAINT-PRIEST,852281.0013365407,6514954.561323837
47.52B,E.F,"",600,RTE,NATIONALE 6,69760,LIMONEST,0,0
47.52B,REVE BLEU,"",280,RUE,ALEXANDRE RICHETTA,69400,VILLEFRANCHE-SUR-SAONE,834342.473379194,6544518.0000994075
47.52B,ETS HENRI MAYERE,"",1,CHEMIN,DU PONTET,69380,CIVRIEUX-D'AZERGUES,832285.8892909053,6530071.983693663
47.52B,LA RIVIERE DE CARREAUX,"",52,RUE,BOILEAU,69006,LYON,843639.9609848213,6520774.519205176
47.52B,SEELEY INTERNATIONAL (FRANCE),"",320,AVENUE,BERTHELOT,69008,LYON,845096.2558929853,6517022.562855256
47.52B,PACIFIC POOLS EUROPE,LE THELEMOS,12,QUAI,DU COMMERCE,69009,LYON,840725.658438279,6522029.16152804
47.52B,DROGUERIE GLEIZEENNE,"",590,RUE,DU TACOT BEAUJOLAIS,69400,GLEIZE,0,0
47.52B,JUNET BRICO,"",1050,ROUTE,DE SARCEY,69490,SAINT-ROMAIN-DE-POPEY,819986.3102863932,6530915.217935523
47.52B,ETABLISSEMENTS LAURENT CAMUS,4 RUE GERVAIS BUSSIERE COMMUN AVEC,20,AVENUE,ROGER SALENGRO,69100,VILLEURBANNE,846045.9078316856,6521626.450145239
47.52B,VISION PISCINES,"",957,ROUTE,DEPARTEMENTALE 386,69700,MONTAGNY,837309.90573997,6504297.848211181
47.52B,MADUMAX,"",30,RUE,PIERRE CORNEILLE,69006,LYON,843251.65,6520176.27
47.52B,DJN PISCINES ET SPAS,"",231,AVENUE,CHARLES DE GAULLE,69720,SAINT-BONNET-DE-MURE,855610.4756868784,6513422.8292535525
47.52B,COMPTOIR LYONNAIS DU BRICOLAGE,"",26,AVENUE,EDOUARD MILLAUD,69290,CRAPONNE,835394.6900889539,6517917.919639741
47.52B,ALOHA PISCINES,"",305,RUE,GABRIEL VOISIN,69400,VILLEFRANCHE-SUR-SAONE,834904.2384212345,6543714.178723794
47.52B,APICE PISCINE,"",47,RUE,DE LA GARDE,69360,COMMUNAY,842878.997138946,6501546.3267646525
47.52B,POOL GARDEN CONCEPT,"",1,RUE,LA FONTAINE,69800,SAINT-PRIEST,854250.220698431,6513119.023094011
47.52B,EMA DIFFUSION,COURS-LA-VILLE,74,RUE,NEUVE,69240,COURS,0,0
47.52B,LAPEYRE,"",221,ROUTE,DE GRENOBLE,69800,SAINT-PRIEST,852593.8137894884,6514788.700187568
47.52B,LAPEYRE,"","",RUE,DES TUILERIES,69760,LIMONEST,0,0
47.52B,SOCIETE DE MATERIAUX DE CONSTRUCTION - SMC,"",90,AVENUE,DE LANESSAN,69410,CHAMPAGNE-AU-MONT-D'OR,838908.7935664171,6523712.915829782
47.52B,NOVA PISCINES,25-27,25,RUE,DE LA REPUBLIQUE,69310,OULLINS-PIERRE-BENITE,0,0
47.52B,BRICO DEPOT,RN6,"",ROUTE,DE GRENOBLE,69800,SAINT-PRIEST,853302.3103852976,6514468.75701929
47.52B,KF KATIA 2,"",163,AVENUE,FRANKLIN ROOSEVELT,69150,DECINES-CHARPIEU,850383.9750120396,6518749.10607379
47.52B,GB. DISTRIBUTION SN,"",79,RUE,DE REIMS,69500,BRON,848821.5577718898,6517416.561277596
47.52B,J M G,"",7,ROUTE,DU COLOMBIER,69490,SAINT-ROMAIN-DE-POPEY,819409.9896834354,6530144.4476970425
47.52B,VIAL MENUISERIES,418-428,418,RUE,ALEXANDRE RICHETTA,69400,VILLEFRANCHE-SUR-SAONE,834341.0926922393,6544661.814696596
47.52B,VIAL MENUISERIES,RN6,212,RTE,NATIONALE,69800,SAINT-PRIEST,0,0
47.52B,COBALT,"",41,COURS,DOCTEUR LONG,69003,LYON,846413.8900217372,6518373.842590511
47.52B,SARL RAYON DE LUMIERE,"",6,RUE,JULES RENARD,69330,MEYZIEU,854375.7614725669,6521266.676463118
47.52B,VERTEC,CNR,"","",ZONE PORTUAIRE,69560,SAINT-ROMAIN-EN-GAL,0,0
47.52B,ELGISYA,"","","",LE JAYON,69520,GRIGNY,0,0
47.52B,AMC ENTREPRISE,22 A 24,22,RUE,FRANCISQUE AYNARD,69200,VENISSIEUX,845961.8184302426,6513288.606805591
47.53Z,DECOPLUS,"",2,RUE,DU PLAT,69002,LYON,842223.142252806,6519346.448086973
47.53Z,BELVEDERE,"",44,CHEMIN,DE GENAS,69800,SAINT-PRIEST,852510.3625483679,6514742.970517205
47.53Z,BELVEDERE,PARC D'AFFAIRES,"","",PAISY,69570,DARDILLY,0,0
47.53Z,FOUCRAY DECO,"",1,AVENUE,DE L'HIPPODROME,69140,RILLIEUX-LA-PAPE,846739.9252108118,6525889.694773547
47.53Z,FOUCRAY DECO,"",197,RUE,VENDOME,69003,LYON,843536.8694664573,6519509.002154688
47.53Z,FOUCRAY DECO,VOIE EXPRESS C47 CENTRE CO,"","",PLAINE DU GIER,69700,GIVORS,0,0
47.53Z,FOUCRAY DECO,"",5,ROUTE,DE JONAGE,69150,DECINES-CHARPIEU,853620.6410603083,6521142.299543325
47.59B,SARL ATRE DECORATION,"",14,RUE,BASSE COMBALOT,69007,LYON,843184.9407337947,6518950.262064338
47.59B,BH2E,"",4,RUE,DE LA REPUBLIQUE,69001,LYON,842672.7025733468,6520239.532538083
47.72A,ABC CHAUSSURES,CC PART DIEU,17,RUE,DOCTEUR BOUCHUT,69003,LYON,844205.025003836,6519491.0104782
47.79Z,NSA CONCEPT,"",207,RUE,DE THIZY,69400,VILLEFRANCHE-SUR-SAONE,832790.0690858932,6544429.976000723
47.89Z,OUTILLAGE DE ST ETIENNE,"",2125,ROUTE,DE VILLEFRANCHE,69480,ANSE,832804.8354785647,6539841.94784612
77.29Z,RAINWATER  INTERNATIONAL,"","",LD,LE MONTENET,69870,SAINT NIZIER D'AZERGUES,0,0
77.29Z,RAINWATER  INTERNATIONAL,"",53,RUE,DE TRION,69005,LYON,841117.7245082039,6519120.316064148
81.30Z,EVML,ZA DES ANDRES,72,RUE,DU CHAPITRE,69126,BRINDAS,832237.8788916478,6514514.569517702
81.30Z,EVML,"",1,RUE,DU 11 NOVEMBRE 1918,69290,CRAPONNE,834363.1619161185,6517535.582303869
