NAF,Nom,Complement_adresse,Numero_voie,Type_voie,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,CoordonneesLambertAbscisse,CoordonneesLambertOrdonnee
46.73A,AGRU ENVIRONNEMENT FRANCE,BATIMENT B,304,AVENUE,JEAN JAURES,69007,LYON,842445.5395061474,6515963.9744701
46.73A,GROUPE MDSA NEGOCE,"",2125,ROUTE,DE VILLEFRANCHE,69480,ANSE,832804.8354785647,6539841.94784612
46.73A,BEAULIEU INVEST,"",7,RUE,DE LA LIBERATION,69270,FONTAINES-SUR-SAONE,844260.357297092,6527528.04885074
46.73A,GUGLER LYON 6E,BAT N 7,11,ALL,GUIMET,69250,FLEURIEU-SUR-SAONE,0,0
46.73A,LOFT CARRELAGE,"",8,AVENUE,CHANTELOT,69520,GRIGNY,837891.4304151473,6502631.550452474
46.73A,TRANSPARENCE CONCEPTION,"",682,ROUTE,D’ANSE,69400,LIMAS,832878.53,6542814.73
46.73A,PELTIER BOIS LYON,"","",CHEMIN,DES VIEILLES VIGNES,69530,BRIGNAIS,836550.7898217784,6508787.651930866
46.73A,MB EUROPE,PARC AKTILAND 2,8,RUE,DE LOMBARDIE,69800,SAINT-PRIEST,852168.1406258123,6514607.1772071
46.73A,TOP MODULES,PARC MATERIEL,18,ROUTE,DE SEREZIN,69360,TERNAY,841328.4264269364,6503537.7582998825
46.73A,NEGO-FLEX,"",70,ROUTE,DE L'ETRA,69390,CHARLY,839645.0302435956,6506730.870540985
46.73A,UPM WOOD MATERIALS,"",191,COURS,LAFAYETTE,69006,LYON,844459.67,6519943.21
46.73A,BELITH SPECIALTIES,"",48,CHEMIN,DES OLIVIERS,69230,SAINT-GENIS-LAVAL,838584.5311338835,6511468.977357143
46.73A,FEMAT LYON EST,"",28,RUE,LOUIS PRADEL,69960,CORBAS,848967.467797325,6510116.89247141
46.73A,DECAMATERIAUX,"",156,RUE,MONCEY,69003,LYON,843971.1475962856,6519881.968058451
46.73A,KARDIGAN,BATIMENT ZERMATT,1306,CHEMIN,DU CHAMP DE LIERE,69140,RILLIEUX-LA-PAPE,845482.2567919914,6524714.462684007
46.73A,FENETRES & VOUS,"",533,RUE,DES GRILLONS,69400,GLEIZE,831699.8555033358,6545392.851247673
46.73A,S.G.DIFFUSION,"",3,ALLEE,BARTHELEMY THIMONNIER,69970,CHAPONNAY,850162.0652077678,6507693.437957084
46.73A,PMC DELOY,"",14,AVENUE,DES FRERES MONTGOLFIER,69680,CHASSIEU,852935.5266121186,6516018.808510922
46.73A,MEME PALIER,"",21,CHEMIN,DE LA CROIX BLANCHE,69510,SOUCIEU-EN-JARREST,831517.0234519161,6509698.686583615
46.73A,INHEXIS,"",17,IMP,GEN BROSSET,69140,RILLIEUX LA PAPE,0,0
46.73A,GLOBALIS COMPETENCES,"",12,RUE,FULGENCIO GIMENEZ,69120,VAULX-EN-VELIN,849390.4478817484,6518729.949992824
46.73A,CATANIA CERAMIQUE,"",25,AVENUE,JEAN MOULIN,69520,GRIGNY,840030.7589267832,6502784.1709156325
46.73A,DSHWOOD FRANCE,BATIMENT 4 PARC MILLESIME,119,RUE,MICHEL AULAS,69400,LIMAS,832873.4288300604,6543206.168901317
46.73A,NOVIHOME,"",25,RUE,PAUL MONTROCHET,69002,LYON,841575.2808889064,6517092.195854161
46.73A,DECOCERA,"",48,RUE,DU DAUPHINE,69800,SAINT-PRIEST,849488.398484585,6514255.430498588
46.73A,3F3G,"",260,RUE,DU COMPANET,69140,RILLIEUX-LA-PAPE,845954.6611597356,6525246.776646296
46.73A,AU FAITE,"",2,CHEMIN,DU GENIE,69200,VENISSIEUX,844817.0525406802,6514649.258048379
46.73A,SAINBIOSE,"",9,RUE,DU PERIGORD,69330,MEYZIEU,857079.3792559117,6519796.753807796
46.73A,INOPRO,"",42,RUE,VAUCANSON,69150,DECINES-CHARPIEU,850767.0398439735,6518958.345859954
46.73A,CONCEPT BERTHEAU MENUISERIES,"",36,RUE,DU GUICHOLET,69390,MILLERY,838935.1750711764,6505482.800693599
46.73A,TARARE MATERIAUX,"",4,AVENUE,MATHIEU MISERY,69160,TASSIN-LA-DEMI-LUNE,837358.6652804886,6519135.993375079
46.73A,NEOLIFE,"",11,CHEMIN,DES ANCIENNES VIGNES,69410,CHAMPAGNE-AU-MONT-D'OR,837856.8943461671,6524054.181485037
