NAF,Code_NAF,Nom,Adresse_etablissement,Code_Postal,CoordonneesLambertAbscisse,coordonneesLambertOrdonnee,gps_lon,gps_lat
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,SOCIETE INDUSTRIELLE DE L'OUEST DES PRODUITS ISOLANTS - OUEST ISOL, 41 BOULEVARD DES DROITS DE L'HOMME 69120 VAULX-EN-VELIN,69120,850272.2498781348,6519338.7810772965,"4,933339","45,757094"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,SAMSE, 64 AVENUE FRANKLIN ROOSEVELT 69120 VAULX-EN-VELIN,69120,850540.5705175487,6519932.327081209,"4,936977","45,762378"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,BMRA,BP 230 6 RUE JEAN CORONA 69120 VAULX-EN-VELIN,69120,848258.4757131411,6521462.805856315,"4,908101","45,776656"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,SODICIL, 7 RUE DES MARAICHERS 69120 VAULX-EN-VELIN,69120,848215.1042380554,6522713.886767115,"4,907932","45,787928"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,CNT,ZONE ARTISANALE  IMPASSE DU PETIT PRINCE 69124 COLOMBIER-SAUGNIEU,69124,863612.8173260958,6514323.654636371,"5,103177","45,708878"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,DECK-KING, 5 RUE DE LA TERRE NOBLE 69126 BRINDAS,69126,832421.324433243,6514771.9999763565,"4,702486","45,719682"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ELIGO BOIS, 27 RUE DU CHAPITRE 69126 BRINDAS,69126,832182.8252629297,6514625.016497508,"4,69938","45,718405"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,MONKITISOLATION, 6 CHEMIN DE CHALIN 69130 ECULLY,69130,839189.150541594,6521359.171951862,"4,791389","45,777636"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,AS PRV INNOV,BATIMENT B 23 AVENUE RAYMOND DE VEYSSIERE 69130 ECULLY,69130,838305.3440345781,6520962.290735845,"4,779903","45,774243"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,COBOIS SARL, 24 AVENUE EDOUARD AYNARD 69130 ECULLY,69130,838226.1542563601,6521327.177469104,"4,77899","45,777544"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,NOMAD, 58 ROUTE DE GENEVE 69140 RILLIEUX-LA-PAPE,69140,846950.7157551616,6524824.131663916,"4,892313","45,807199"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,KARDIGAN,BATIMENT ZERMATT 1306 CHEMIN DU CHAMP DE LIERE 69140 RILLIEUX-LA-PAPE,69140,845482.2567919914,6524714.462684007,"4,873377","45,806527"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,3F3G, 260 RUE DU COMPANET 69140 RILLIEUX-LA-PAPE,69140,845954.6611597356,6525246.776646296,"4,879621","45,811218"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,AB CONCEPT, 9 AVENUE GENERAL LECLERC 69140 RILLIEUX-LA-PAPE,69140,847740.4946318705,6525545.489691988,"4,902703","45,813522"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ARKTIC, 160 RUE HELENE BOUCHER 69140 RILLIEUX-LA-PAPE,69140,847997.4164750137,6527033.088766887,"4,906473","45,826858"
